month,date,ticker,type,ret_z,volz,why
1963-10,1963-10-01,KO,,2.422375860082558,0.6054983122231723,range_pct>95%
1963-10,1963-10-16,IBM,,2.423873820592971,0.7780466443901373,range_pct>95%
1963-10,1963-10-17,DIS,volume_shock,0.3561155470182497,3.307970319401841,volz>2.5
1963-10,1963-10-29,IBM,,-1.46059499760148,0.6124377382208576,range_pct>95%
1963-11,1963-11-15,DIS,crash,-2.5134219898268753,-0.3236956104031484,|ret_z|>2.5; ; range_pct>95%
1963-11,1963-11-18,DIS,,-2.1282023790205997,1.0429396558224404,range_pct>95%
1963-11,1963-11-21,DIS,,-1.5860034553117202,-0.003644604502618402,range_pct>95%
1963-11,1963-11-22,DIS,,-1.5834458533630735,1.5340469298220711,range_pct>95%
1963-11,1963-11-22,KO,,-1.8340067873434724,0.22734365189965278,range_pct>95%
1963-11,1963-11-26,DIS,spike,3.1259565614588105,1.9238228506070063,|ret_z|>2.5
1963-12,1963-12-19,KO,spike,3.8911400126521642,0.15480749546799172,|ret_z|>2.5; ; range_pct>95%
1963-12,1963-12-20,KO,crash,-2.8697875827289345,-0.1176117911670356,|ret_z|>2.5; ; range_pct>95%
1963-12,1963-12-26,KO,spike,2.5099161083501746,-0.3323181877862645,|ret_z|>2.5; ; range_pct>95%
1963-12,1963-12-30,IBM,volume_shock,0.9428301437697083,2.543346632784212,volz>2.5
1963-12,1963-12-31,DIS,,2.1678307924505558,1.3942882261656224,range_pct>95%
1964-01,1964-01-09,IBM,spike,2.6087339717242672,1.1945395969495045,|ret_z|>2.5; ; range_pct>95%
1964-01,1964-01-15,IBM,spike,3.763746619559326,1.2891235978789972,|ret_z|>2.5; ; range_pct>95%
1964-01,1964-01-16,IBM,,-1.7777266451924232,1.620901688273401,range_pct>95%
1964-01,1964-01-17,KO,,0.05978515039597356,0.13769871704576794,range_pct>95%
1964-01,1964-01-21,IBM,,-1.6066566112535885,1.5946427924740314,range_pct>95%
1964-01,1964-01-31,KO,,2.319542614453819,1.5193561034823952,range_pct>95%
