date,market_ret,breadth,market_anomaly_flag
1962-09-10,-2.55317252562115e-06,0.6666666666666666,0
1962-09-11,-0.0005756176454212077,0.3333333333333333,0
1962-09-12,0.005229027465525708,1.0,0
1962-09-13,-0.005859579506357848,0.0,1
1962-09-14,-0.002933515930927203,0.3333333333333333,0
1962-09-17,0.0014662552259202544,0.3333333333333333,0
1962-09-18,-0.007491983119328823,0.0,1
1962-09-19,-0.0029725149811530294,0.3333333333333333,0
1962-09-20,-0.011408716063445587,0.0,1
1962-09-21,-0.02266181044861626,0.0,1
1962-09-24,-0.01963330426788627,0.0,1
1962-09-25,0.0009730149676388707,0.3333333333333333,0
1962-09-26,-0.0197472364445187,0.0,1
1962-09-27,-0.008301706981272972,0.0,1
1962-09-28,-0.002466419232407868,0.6666666666666666,0
1962-10-01,-0.024221794419673908,0.0,1
